| dominio                           | documento           | adm_handle | tec_handle | cob_handle | ticket   | data_cadastro       | ultima_atualizacao  |
| cnj.gov.br                        | 007.421.906/0001-29 | SEGDI7     | SEGDI7     | OTNCI      |  2111539 | 2005-04-20 14:56:08 | 2020-07-17 22:21:39 |
| cnmp.gov.br                       | 011.439.520/0001-11 | DJSAL      | DJSAL      | DJSAL      |  2236197 | 2005-07-14 12:39:20 | 2020-04-29 19:40:07 |
| cnpd.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944086 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| cnrh.gov.br                       | 037.115.375/0003-79 | SEGDI7     | SEGDI7     | MMR        |  4837697 | 2008-09-09 13:05:26 | 2020-05-05 20:44:07 |
| cnv.gov.br                        | 000.394.411/0001-09 | SEGDI7     | KERPO      | KERPO      | 10171985 | 2012-07-24 10:50:50 | 2021-01-29 21:59:35 |
| coaf.gov.br                       | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |   179648 | 1999-07-20 20:07:02 | 2020-06-08 13:45:55 |
| codeba.gov.br                     | 014.372.148/0001-61 | INCOD3     | INCOD3     | INCOD3     | 23892489 | 2022-01-18 16:51:46 | 2022-01-18 16:51:46 |
| codern.gov.br                     | 034.040.345/0001-90 | SKMLI      | SKMLI      | SKMLI      |  9218722 | 2011-12-15 12:52:59 | 2023-06-23 21:11:58 |
| codesa.gov.br                     | 027.316.538/0001-66 | CFB68      | SEGDI7     | CFB68      |  1600186 | 2004-04-19 13:37:14 | 2021-11-18 16:50:21 |
| codesp.gov.br                     | 044.837.524/0001-07 | SEGDI7     | RRS248     | RRS248     |  5391404 | 2009-03-23 16:05:57 | 2022-07-11 19:04:16 |
| codevasf.gov.br                   | 000.399.857/0001-26 | MTNSI2     | ANMCR16    | MTNSI2     |        0 | 1996-01-01 12:00:00 | 2023-05-22 21:46:32 |
| codomar.gov.br                    | 006.347.892/0001-88 | SECDA3     | SECDA3     | EDJCO59    |  9708122 | 2012-04-03 18:58:13 | 2022-08-15 19:03:26 |
| coegv.gov.br                      | 000.357.038/0001-16 | INTEL69    | INTEL71    | ROLCO192   |   122146 | 1998-11-12 19:22:22 | 2022-03-15 14:03:48 |
| cofeci.gov.br                     | 062.658.737/0001-53 | CFI6       | CFI6       | CFI6       |   549534 | 2001-05-04 22:26:09 | 2020-03-13 14:45:28 |
| cofecon.gov.br                    | 033.758.053/0001-25 | SEGDI7     | SEGDI7     | COFEC      | 16789117 | 2017-03-24 15:04:16 | 2020-08-28 20:07:12 |
| cofen.gov.br                      | 047.217.146/0001-57 | FASCR11    | FASCR11    | LAM653     |   854945 | 2002-05-28 15:35:31 | 2018-03-21 19:50:07 |
| coffito.gov.br                    | 000.487.140/0001-36 | GLLSI37    | GLLSI37    | GLLSI37    | 15764100 | 2016-07-05 14:54:56 | 2016-07-05 15:45:28 |
| colab.gov.br                      | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 13442567 | 2014-10-15 09:44:27 | 2020-06-15 21:19:57 |
| colabora.gov.br                   | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 13676469 | 2015-01-05 13:06:40 | 2021-01-12 11:25:53 |
| coletapilotocnae.gov.br           | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  5059501 | 2008-12-01 12:15:35 | 2021-01-12 11:25:53 |
| coletasolidaria.gov.br            | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944087 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| combateafome.gov.br               | 005.756.246/0001-01 | RAASI691   | MHAGO13    | RAASI691   | 10499645 | 2012-09-28 17:27:21 | 2022-09-06 19:15:09 |
| comercioeinvestimento.gov.br      | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       |  9837264 | 2012-05-11 12:36:20 | 2022-05-02 18:57:39 |
| comex.gov.br                      | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       |  3840705 | 2007-08-22 18:21:17 | 2022-08-15 19:03:09 |
| comexbrasil.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944088 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| comexbrazil.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944089 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| comexresponde.gov.br              | 000.394.478/0002-24 | SEGDI7     | COINF90    | COINF90    | 13158446 | 2014-07-29 10:45:30 | 2022-04-29 18:39:31 |
| comiteamazonia.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944090 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| compras.gov.br                    | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 23300688 | 2021-08-20 11:58:50 | 2021-08-20 11:58:50 |
| comprasagriculturafamiliar.gov.br | 005.756.246/0001-01 | RAASI691   | MHAGO13    | RAASI691   | 15166912 | 2016-02-05 17:57:43 | 2022-09-06 19:15:19 |
| comprasgovernamentais.gov.br      | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 12435180 | 2014-01-15 18:39:16 | 2020-06-08 14:51:36 |
| comprasnet.gov.br                 | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |   149989 | 1999-03-26 13:15:35 | 2020-06-08 14:52:28 |
| compraspublicasbrasil.gov.br      | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 18334220 | 2018-05-10 17:58:21 | 2020-02-07 21:01:41 |
| computadoresparainclusao.gov.br   | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  4395624 | 2008-04-18 13:17:49 | 2021-01-12 11:25:53 |
| computadorparaprofessores.gov.br  | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  4639088 | 2008-07-07 13:37:19 | 2020-06-08 14:54:21 |
| computadorparatodos.gov.br        | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  2358165 | 2005-09-30 14:17:55 | 2020-06-08 14:55:05 |
| comunicacaosocial.gov.br          | 009.234.494/0001-43 | SEGDI7     | SEGDI7     | MAMPA145   |  6425018 | 2010-01-13 14:04:12 | 2022-05-12 12:46:16 |
| comunicacoes.gov.br               | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944091 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| comunidadenegra.gov.br            | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944092 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| conab.gov.br                      | 026.461.699/0001-80 | CONAB1     | CONAB1     | CONAB1     |    27275 | 1997-01-06 11:00:00 | 2020-07-07 19:31:14 |
| conarq.gov.br                     | 004.374.067/0001-47 | KERPO      | KERPO      | KERPO      |  8724458 | 2011-09-06 12:42:49 | 2021-01-29 21:54:05 |
| conasp.gov.br                     | 000.394.494/0005-60 | MIJUS7     | LERBI17    | MIJUS7     |  6231775 | 2009-11-16 17:11:34 | 2023-05-22 21:46:37 |
| concar.gov.br                     | 033.787.094/0001-40 | ECO        | ECO        | ECO        |  7353286 | 2010-09-23 19:02:45 | 2020-09-04 20:53:28 |
| condraf.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944093 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| conecta.gov.br                    | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 17618403 | 2017-10-24 18:34:54 | 2020-02-07 21:03:04 |
| confecom.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944094 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| conferenciameioambiente.gov.br    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944095 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| congresso.gov.br                  | 000.530.279/0004-68 | SSAIR      | SSAIR      | SSAIR      |    36816 | 1997-04-17 12:00:00 | 2023-10-11 00:34:30 |
| conitec.gov.br                    | 000.394.544/0008-51 | ARC452     | ARC452     | ARC452     | 13316849 | 2014-10-06 14:47:09 | 2016-06-06 13:42:59 |
| conpet.gov.br                     | 033.000.167/0147-57 | SEGDI7     | CETTE20    | VADAD2     |   619358 | 2001-08-15 13:07:31 | 2020-05-05 20:44:14 |
| conseg.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944096 | 2022-08-24 12:16:05 | 2023-05-11 19:06:29 |
| consegi.gov.br                    | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  4409079 | 2008-04-30 19:14:28 | 2020-06-08 14:55:44 |
| consorcioamazonialegal.gov.br     | 033.733.453/0001-86 | HEZBA5     | HEZBA5     | HEZBA5     | 26601054 | 2023-08-14 14:17:28 | 2023-10-02 22:52:33 |
| consorciobdjur.gov.br             | 000.488.478/0001-02 | JHTMS      | JHTMS      | JHTMS      |  1833739 | 2004-10-08 15:57:04 | 2021-06-23 17:08:27 |
| consorciociga.gov.br              | 009.427.503/0001-12 | CICON35    | CICON35    | CICON35    | 23574245 | 2021-10-19 12:41:36 | 2021-10-19 12:41:36 |
| consorcionordeste.gov.br          | 034.304.033/0001-47 | CONOR16    | CONOR16    | CONOR16    | 26425216 | 2023-07-06 17:23:51 | 2023-07-06 17:23:51 |
| construcard.gov.br                | 000.360.305/0674-46 | RMJ35      | GIT60      | GIC166     |   399390 | 2000-08-04 20:46:58 | 2023-10-29 02:29:28 |
| consultaprotocolo.gov.br          | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 13521910 | 2014-11-05 16:30:10 | 2020-06-15 21:20:30 |
| consumidor.gov.br                 | 000.394.494/0001-36 | MIJUS7     | LERBI17    | MIJUS7     |   697240 | 2001-12-13 18:37:05 | 2023-05-22 21:48:27 |
| consumosustentavel.gov.br         | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944097 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| contaspublicas.gov.br             | 000.414.607/0001-18 | DGACO10    | SEIRE9     | DGACO10    |   153234 | 1999-05-06 12:55:40 | 2023-06-20 20:07:58 |
| conter.gov.br                     | 003.635.323/0001-40 | SKLSI6     | SKLSI6     | SKLSI6     |   440700 | 2000-10-24 18:33:55 | 2023-02-06 20:44:53 |
| contracorrupcao.gov.br            | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944098 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| controladoria.gov.br              | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944099 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| controle.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944100 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| convenios.gov.br                  | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  4388176 | 2008-04-14 11:55:04 | 2021-01-12 11:25:54 |
| convensi.gov.br                   | 062.658.737/0001-53 | CFI6       | CFI6       | CFI6       | 12844980 | 2014-05-05 13:54:04 | 2014-05-06 19:09:20 |
| convergenciademidias.gov.br       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944101 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| convivio.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944102 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cop.gov.br                        | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944103 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cop15.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944104 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cop15brasil.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944105 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cop15brazil.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944106 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| copa2014.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944107 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| copadacultura.gov.br              | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944108 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| copatransparente.gov.br           | 000.530.279/0004-68 | SSAIR      | SSAIR      | SSAIR      |  8550844 | 2011-07-12 16:17:24 | 2023-10-11 00:35:35 |
| coracaoazul.gov.br                | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944109 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| corecongo.gov.br                  | 002.308.112/0001-30 | SEGDI7     | SEGDI7     | CRERE2     | 18705097 | 2018-08-23 22:12:11 | 2020-05-05 20:44:17 |
| coreconpe.gov.br                  | 001.698.061/0001-37 | RKMDM      | RKMDM      | RKMDM      | 17241106 | 2017-07-21 18:03:48 | 2023-01-17 14:15:51 |
| coreconpr.gov.br                  | 077.085.892/0001-03 | AMSSA19    | ROC1263    | AMSSA19    | 15799164 | 2016-07-07 17:42:46 | 2016-11-30 18:57:43 |
| coreconrr.gov.br                  | 011.654.317/0001-68 | SEGDI7     | SEGDI7     | LUSSO261   | 17251153 | 2017-08-01 19:30:21 | 2020-05-05 20:44:22 |
| coreconsp.gov.br                  | 062.144.084/0001-94 | MAMFR65    | MAMFR65    | MAMFR65    | 18010416 | 2018-02-27 18:24:49 | 2022-12-22 14:56:11 |
| coredopiaui.gov.br                | 006.518.666/0001-12 | SEGDI7     | SEGDI7     | NEDIG3     | 13238042 | 2014-09-01 17:26:31 | 2020-05-05 20:44:22 |
| coren-ap.gov.br                   | 000.593.411/0001-38 | CREAM2     | CREAM2     | CREAM2     |  9778847 | 2012-04-26 19:39:27 | 2023-03-08 13:18:37 |
| coren-ba.gov.br                   | 015.679.277/0001-60 | DAARO212   | MAFSO1010  | MAFSO1010  | 12865901 | 2014-05-13 01:55:08 | 2023-01-05 14:01:03 |
| coren-df.gov.br                   | 003.875.295/0001-38 | COEDF2     | VAD26      | COEDF2     |  7970211 | 2011-02-24 12:58:40 | 2023-06-14 00:58:51 |
| coren-mg.gov.br                   | 021.699.889/0001-17 | UTCOR      | UTCOR      | UTCOR      |  5169547 | 2009-01-22 10:18:04 | 2020-07-01 17:21:43 |
| coren-mt.gov.br                   | 008.336.841/0001-86 | SEGDI7     | SEGDI7     | FAROL7     |   820407 | 2002-05-10 15:55:47 | 2020-05-05 20:44:18 |
| coren-pb.gov.br                   | 007.647.181/0001-91 | SEGDI7     | SEGDI7     | GESRI10    |  5724636 | 2009-07-03 20:01:26 | 2020-05-05 20:44:21 |
| coren-pe.gov.br                   | 011.674.777/0001-58 | ELACA235   | ELACA235   | ELACA235   |  9411912 | 2012-02-09 10:37:41 | 2022-08-24 15:28:07 |
| coren-rj.gov.br                   | 027.149.095/0001-66 | SEGDI7     | SEGDI7     | REACO16    | 19691577 | 2019-05-24 16:57:46 | 2020-05-05 20:44:10 |
| coren-se.gov.br                   | 013.161.344/0001-24 | JESSA155   | JESSA155   | JESSA155   | 17970111 | 2018-01-29 18:51:29 | 2023-01-03 20:10:45 |
| coren-sp.gov.br                   | 044.413.680/0001-40 | RJS174     | RJS174     | BRMCE7     |  4868212 | 2008-09-18 18:09:57 | 2023-07-04 20:45:41 |
| corenac.gov.br                    | 084.318.799/0001-59 | CREAC3     | FASCR11    | CREAC3     | 18857707 | 2018-10-15 19:52:35 | 2021-12-09 19:55:44 |
| corenam.gov.br                    | 004.667.846/0001-30 | CREAM4     | EDL17      | CREAM4     | 13948456 | 2015-03-16 14:37:42 | 2023-08-25 17:46:40 |
| corenma.gov.br                    | 006.272.868/0001-27 | COEMA25    | COEMA25    | COEMA25    |  9641565 | 2012-04-11 12:47:11 | 2021-01-01 17:39:56 |
| corenmg.gov.br                    | 021.699.889/0001-17 | UTCOR      | UTCOR      | UTCOR      |  5285332 | 2009-03-16 17:03:10 | 2020-07-01 18:01:05 |
| corenms.gov.br                    | 024.630.212/0001-10 | OSSJU107   | OSSJU107   | OSSJU107   |  8168920 | 2011-04-25 14:23:05 | 2018-03-21 20:06:37 |
| corenpb.gov.br                    | 007.647.181/0001-91 | SEGDI7     | SEGDI7     | GESRI10    |  5654571 | 2009-06-30 13:50:17 | 2020-05-05 20:44:16 |
| corenpr.gov.br                    | 075.078.816/0001-37 | CCE120     | MGPSO      | CCE120     |  9395488 | 2012-02-23 11:13:47 | 2022-04-19 22:26:52 |
| corenrj.gov.br                    | 027.149.095/0001-66 | SEGDI7     | SEGDI7     | REACO16    | 19691586 | 2019-05-24 16:59:46 | 2020-05-05 20:44:21 |
| corensc.gov.br                    | 075.308.106/0001-56 | MIRKA      | MIRKA      | MIRKA      |  6232598 | 2009-11-16 17:27:01 | 2022-12-23 19:47:29 |
| corensp.gov.br                    | 044.413.680/0001-40 | RJS174     | RJS174     | BRMCE7     |  4794739 | 2008-09-18 17:54:29 | 2023-07-04 21:38:35 |
| corregedorias.gov.br              | 026.664.015/0001-48 | SEGDI7     | SRBOL6     | GUMSO21    | 18724607 | 2018-08-23 18:20:55 | 2021-10-19 18:54:43 |
| correio.gov.br                    | 034.028.316/0001-03 | GIMCO87    | GIMCO87    | GIMCO87    |   246912 | 2000-02-01 18:09:22 | 2023-07-13 04:26:49 |
| correios-ce.gov.br                | 034.028.316/0010-02 | GIMCO87    | GIMCO87    | PPRNC      |     5293 | 1996-02-07 12:00:00 | 2022-09-12 15:44:44 |
| correios.gov.br                   | 034.028.316/0001-03 | GIMCO87    | GIMCO87    | GIMCO87    |    63697 | 1997-10-16 11:00:00 | 2023-07-13 04:28:01 |
| cortesmercosul.gov.br             | 000.531.640/0001-28 | SEGDI7     | SEGDI7     | GASTI6     |  4027416 | 2007-10-30 15:48:50 | 2020-05-05 20:44:17 |
| cortesmercosur.gov.br             | 000.531.640/0001-28 | SEGDI7     | SEGDI7     | GASTI6     |  4027421 | 2007-10-30 15:48:50 | 2020-05-05 20:44:24 |
| cp2.gov.br                        | 042.414.284/0001-02 | MAAVA111   | FLDSM10    | FLDSM10    |  5737217 | 2009-07-10 16:17:13 | 2023-07-18 00:31:36 |
| cprm-be.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944111 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cprm-ma.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944113 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cprm-sp.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944115 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cprm.gov.br                       | 000.091.652/0002-60 | CPRMI      | RGRBA4     | RGRBA4     |     5443 | 1996-02-16 12:00:00 | 2020-06-22 22:19:13 |
| cprmba.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944110 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cprmbh.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944112 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cprmpa.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944114 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cquali.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944116 | 2022-08-24 12:16:06 | 2023-05-11 19:06:29 |
| cra-amrr.gov.br                   | 014.189.856/0001-61 | SEGDI7     | SEGDI7     | CRA181     |   601733 | 2001-07-19 20:07:59 | 2020-05-05 20:44:23 |
| cra-pr.gov.br                     | 078.348.059/0001-62 | RUD30      | RUD30      | RUD30      | 15401084 | 2016-03-31 13:08:32 | 2023-03-29 20:07:13 |
| crasp.gov.br                      | 043.060.078/0001-04 | CRASP      | CRASP      | CRASP      |  4395208 | 2008-04-28 17:41:14 | 2019-04-11 19:27:21 |
| crbio-02.gov.br                   | 002.452.608/0001-82 | DRS76      | DRS76      | DRS76      |  5228642 | 2009-02-16 11:03:30 | 2023-05-01 09:48:44 |
| crbio-03.gov.br                   | 004.053.157/0001-36 | SEGDI7     | SEGDI7     | CLLUZ2     |  5229737 | 2009-01-29 17:24:15 | 2020-05-05 20:44:15 |
| crbio-3.gov.br                    | 004.053.157/0001-36 | SEGDI7     | SEGDI7     | CLLUZ2     |  5209806 | 2009-01-29 17:24:13 | 2020-05-05 20:44:12 |
| crbio-4.gov.br                    | 002.505.297/0001-72 | GLCAR63    | GLCAR63    | GLCAR63    |  5076795 | 2008-11-27 11:36:42 | 2021-03-30 19:58:47 |
| crbio-7.gov.br                    | 007.863.214/0001-30 | RODGE      | RODGE      | RODGE      |  5558288 | 2009-05-15 16:07:48 | 2012-03-21 19:39:51 |
| crbio-pr.gov.br                   | 007.863.214/0001-30 | RODGE      | RODGE      | RODGE      |  5558310 | 2009-05-15 16:07:48 | 2022-11-04 12:16:01 |
| crbio-rs.gov.br                   | 004.053.157/0001-36 | SEGDI7     | SEGDI7     | CLLUZ2     |  5209808 | 2009-01-29 17:24:13 | 2020-05-05 20:44:18 |
| crbio-sc.gov.br                   | 004.053.157/0001-36 | SEGDI7     | SEGDI7     | CLLUZ2     |  5209810 | 2009-01-29 17:24:13 | 2020-05-05 20:44:07 |
| crbio01.gov.br                    | 002.366.047/0001-07 | OLY        | EML280     | OLY        |  5161309 | 2009-01-22 10:18:04 | 2015-02-17 03:12:49 |
| crbio02.gov.br                    | 002.452.608/0001-82 | DRS76      | DRS76      | DRS76      |  5228657 | 2009-02-16 11:18:53 | 2023-04-07 10:40:40 |
| crbio03.gov.br                    | 004.053.157/0001-36 | CLLUZ2     | CLLUZ2     | CLLUZ2     |  5209812 | 2009-01-28 18:46:22 | 2022-11-29 13:29:05 |
| crbio04.gov.br                    | 002.505.297/0001-72 | GLCAR63    | NCILT29    | GLCAR63    |  5076779 | 2008-11-25 12:27:44 | 2021-12-22 21:39:58 |
| crbio05.gov.br                    | 003.662.446/0001-70 | MLNJU2     | MLNJU2     | MLNJU2     | 16340713 | 2016-11-30 18:11:47 | 2023-04-26 20:48:07 |
| crbio06.gov.br                    | 007.934.511/0001-20 | CORBI13    | CILME17    | CORBI13    |  6457619 | 2010-01-26 13:24:20 | 2021-07-23 21:22:12 |
| crbio07.gov.br                    | 007.863.214/0001-30 | RODGE      | DAA277     | RODGE      | 10335261 | 2012-08-28 13:46:01 | 2012-08-28 13:46:01 |
| crbio08.gov.br                    | 022.165.071/0001-87 | SEGDI7     | SEGDI7     | CRGCA45    | 15135681 | 2016-01-28 15:44:11 | 2020-05-05 20:44:08 |
| crbio2.gov.br                     | 002.452.608/0001-82 | DRS76      | DRS76      | DRS76      | 13717675 | 2015-01-16 13:03:10 | 2015-01-16 13:03:10 |
| crbio3.gov.br                     | 004.053.157/0001-36 | SEGDI7     | SEGDI7     | CLLUZ2     |  5209815 | 2009-01-29 17:39:38 | 2020-05-05 20:44:13 |
| crbio5.gov.br                     | 003.662.446/0001-70 | SEGDI7     | SEGDI7     | CRBRE2     |  9123872 | 2011-11-28 18:31:45 | 2020-05-05 20:44:22 |
| crbio7.gov.br                     | 007.863.214/0001-30 | RODGE      | RODGE      | RODGE      |  5558339 | 2009-05-15 16:23:16 | 2022-11-03 20:44:42 |
| crbio8.gov.br                     | 022.165.071/0001-87 | SEGDI7     | SEGDI7     | CRGCA45    | 14022776 | 2015-04-13 18:32:10 | 2020-05-05 20:44:14 |
| crbiopr.gov.br                    | 007.863.214/0001-30 | RODGE      | RODGE      | RODGE      |  5558323 | 2009-05-15 16:23:16 | 2022-11-03 20:45:54 |
| crbm1.gov.br                      | 062.021.837/0001-74 | MAGSI53    | MAGSI53    | MAGSI53    |  4806281 | 2008-09-19 13:29:32 | 2019-12-30 20:11:24 |
| crbm2.gov.br                      | 024.417.008/0001-16 | GFLFE2     | GFLFE2     | CRP114     | 13170994 | 2014-08-13 17:53:25 | 2022-07-08 13:13:53 |
| crbm3.gov.br                      | 026.619.841/0001-75 | SEGDI7     | SEGDI7     | ROMCA209   | 14147040 | 2015-05-15 13:52:54 | 2020-05-05 20:44:24 |
| crbm5.gov.br                      | 013.738.204/0001-76 | MAGSI53    | MAGSI53    | REMIN22    | 11259290 | 2013-03-25 12:18:05 | 2023-05-15 20:22:26 |
| crbm6.gov.br                      | 028.299.858/0001-18 | MAGSI53    | MAGSI53    | MAGSI53    | 17483281 | 2017-09-29 17:10:25 | 2020-10-02 11:57:23 |
| crcn.gov.br                       | 000.402.552/0014-40 | MDGSO2     | MDGSO2     | MDGSO2     |   204322 | 1999-10-28 17:18:23 | 2009-02-19 11:48:46 |
| crea-ro.gov.br                    | 004.920.948/0001-16 | SEGDI7     | SEGDI7     | CRR81      |  6002407 | 2009-10-02 19:55:50 | 2020-05-05 20:44:16 |
| crearo.gov.br                     | 004.920.948/0001-16 | SEGDI7     | SEGDI7     | CRR81      |  5954372 | 2009-09-14 14:14:42 | 2020-05-05 20:44:19 |
| creci-al.gov.br                   | 012.475.711/0001-00 | SEGDI7     | SEGDI7     | CRCIM7     |   555205 | 2001-05-03 12:03:35 | 2020-05-05 20:44:21 |
| creci-am.gov.br                   | 004.619.672/0001-30 | SEGDI7     | SEGDI7     | CRCIM6     | 11537616 | 2013-06-06 20:19:13 | 2020-05-05 20:44:15 |
| creci-ce.gov.br                   | 009.420.282/0001-50 | CRRCE12    | CRRCE12    | CRRCE12    |   660888 | 2001-11-06 19:51:09 | 2018-06-11 13:06:28 |
| creci-es.gov.br                   | 027.239.854/0001-81 | VIMTR2     | VIMTR2     | VIMTR2     |   393289 | 2000-08-07 15:05:22 | 2016-07-01 18:50:38 |
| creci-mt.gov.br                   | 014.921.282/0001-74 | CREMT      | CREMT      | CREMT      | 17882804 | 2018-01-11 09:50:38 | 2018-01-11 09:50:38 |
| creci-pa.gov.br                   | 004.574.646/0001-33 | SEGDI7     | SEGDI7     | ALD37      |   946320 | 2002-08-26 12:50:25 | 2020-05-05 20:44:17 |
| creci-pb.gov.br                   | 009.292.194/0001-10 | ALM1111    | ALM1111    | ALM1111    |   978225 | 2002-10-01 20:16:49 | 2021-02-09 19:53:13 |
| creci-pe.gov.br                   | 011.005.444/0001-36 | SEGDI7     | HSILT8     | CRI31      |  4380454 | 2008-05-02 18:23:45 | 2020-05-05 20:44:17 |
| creci-pr.gov.br                   | 076.693.910/0001-69 | SEGDI7     | SEGDI7     | GPD21      |  4386338 | 2008-04-29 11:40:02 | 2020-05-05 20:44:08 |
| creci-rj.gov.br                   | 033.345.109/0001-10 | SEGDI7     | ATGCA13    | ATGCA13    |  4530323 | 2008-06-10 18:35:21 | 2022-12-13 11:58:26 |
| creci-rn.gov.br                   | 008.303.182/0001-81 | SEGDI7     | SEGDI7     | FJS225     | 16651861 | 2017-02-23 14:31:01 | 2020-05-05 20:44:18 |
| creci-rs.gov.br                   | 092.966.159/0001-83 | SEGDI7     | SEGDI7     | LFM245     |  4480248 | 2008-06-03 12:19:13 | 2020-05-05 20:44:06 |
| creci-sc.gov.br                   | 082.894.098/0001-32 | COCRE42    | COCRE42    | COCRE42    |  4455993 | 2008-05-14 16:12:42 | 2023-02-02 02:17:03 |
